search_name,uuid,occurrenceid,catalognumber,family,genus,scientificname,country,stateprovince,geopoint.lon,geopoint.lat,datecollected,collector,recordset,year
Sloanea usurpatrix,463be771-97fb-4a77-a1ae-2430c7a23680,http://n2t.net/ark:/65665/38d5c3e73-4ddc-446a-850a-198a32f3f0e4,us 2469976,elaeocarpaceae,sloanea,sloanea usurpatrix,venezuela,bolívar,-61.41,5.91,1964-01-06,"j. steyermark, g. c. k. dunsterville & e. dunsterville",a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1964
Sloanea usurpatrix,9062a321-3e6c-4221-89af-d2576b558111,http://n2t.net/ark:/65665/389bca170-3a32-4f9c-920a-df08d73f8a1f,us 3358125,elaeocarpaceae,sloanea,sloanea usurpatrix,ecuador,napo,-77.6153,-1.0664,1995-06-12,p. acevedo-rodriguez & j. a. cedeño m.,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1995
Sloanea usurpatrix,a3739f5e-fa0b-4bfe-a3a2-ce456a2417da,http://n2t.net/ark:/65665/379c6afc7-595f-4543-bf85-905504b4c328,us 2557557,elaeocarpaceae,sloanea,sloanea usurpatrix,venezuela,bolívar,-62.21,8.26,NA,c. a. blanco,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,NA
Solanum argentinum,055605ae-4869-432c-ba5e-d2cdcab56c9a,http://n2t.net/ark:/65665/39580e4f9-0e62-45d1-8303-48db2d96bf7f,us 2935781,solanaceae,solanum,solanum argentinum,argentina,NA,-58.48,-34.58,1966-12-13,p. weisz,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1966
Solanum argentinum,0591a34b-34f0-4c67-8f74-01bbd912a51e,http://n2t.net/ark:/65665/35e1f4016-be39-472e-a7a1-566b33ad9b33,us 2678276,solanaceae,solanum,solanum argentinum,argentina,salta,-64.25,-23.33,1948-11-04,-. cozzo,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1948
Solanum argentinum,0745ff33-1890-43e8-baca-d66e3a61a050,http://n2t.net/ark:/65665/3bbc26d0f-64c0-4842-a7db-3db98897cf0d,us 2678275,solanaceae,solanum,solanum argentinum,argentina,salta,-67.07,-24.22,NA,a. ragonese,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,NA
Solanum argentinum,0b6459b3-f405-45cd-b737-e2880dc82a81,http://n2t.net/ark:/65665/36eb4a261-a568-4b15-94fd-3fd67e947dda,us 3336328,solanaceae,solanum,solanum argentinum,bolivia,santa cruz,-63.1972,-18.125,1994-01-21,m. nee,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1994
Solanum argentinum,104ebe85-af2b-4fa7-9db6-936f7528540c,http://n2t.net/ark:/65665/3215601f2-dbd5-4244-b29f-bd40c716c65c,us 2647625,solanaceae,solanum,solanum argentinum,argentina,jujuy,-65.1,-25.38,1971-01-06,a. krapovickas & c. l. cristóbal,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1971
Solanum argentinum,28d984b2-b029-4426-8d17-b928799d58d5,bra:usp:spf:153605,153605,solanaceae,solanum,solanum argentinum,argentina,salta,-66.013889,-26.093333,2001-12-06,"forzza, rc",67b5d248-4a1e-4861-bc2a-3ac7f379acde,2001
Solanum argentinum,2e3600a5-b0d3-47d3-97a0-2201ea446e5f,http://n2t.net/ark:/65665/3c645f845-cf97-4fec-9414-ce77fd6c0cd8,us 1904991,solanaceae,solanum,solanum argentinum,argentina,santiago del estero,-64.15,-24.78,1943-06-12,h. h. bartlett,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1943
